build_order,layer,query_table_name,logical_model_name,dependency_level,purpose,sources,sql_file
16,dimension,16_dim_ct_vendor.sql,DIM_CT_Vendor,2,Create the vendor identity dimension from Vendor Report with transaction-only fallbacks.,10_std_ct_vendor_report.sql;RAWN_CT_enterprise_purchase_order-Copy;RAWN_CT_enterprise_entry-Copy,16_dim_ct_vendor.sql
17,dimension,17_dim_ct_recipe_effective.sql,DIM_CT_Recipe_Effective,1,Resolve recipe ingredients to canonical item UOM and unit cost.,RAWN_CT_item_recipe_report-Copy;RAWN_CT_closing_stock-Copy,17_dim_ct_recipe_effective.sql
18,fact,18_fact_ct_sales.sql,FACT_CT_Sales,2,Expose validated bill-item sales at its native grain.,01_std_ct_sales_item.sql,18_fact_ct_sales.sql
19,fact,19_fact_ct_theoretical_consumption.sql,FACT_CT_Theoretical_Consumption,2,Expose theoretical ingredient consumption at outlet-item-month grain.,03_std_ct_theoretical_consumption.sql,19_fact_ct_theoretical_consumption.sql
20,fact,20_fact_ct_actual_consumption.sql,FACT_CT_Actual_Consumption,2,Calculate the approved inventory movement bridge for actual consumption.,04_std_ct_inventory_period.sql,20_fact_ct_actual_consumption.sql
21,fact,21_fact_ct_consumption_variance.sql,FACT_CT_Consumption_Variance,3,Compare actual and theoretical ingredient consumption.,20_fact_ct_actual_consumption.sql;19_fact_ct_theoretical_consumption.sql,21_fact_ct_consumption_variance.sql
22,fact,22_fact_ct_purchase_order.sql,FACT_CT_Purchase_Order,2,"Calculate ordered, pending and open PO values.",07_std_ct_purchase_order.sql,22_fact_ct_purchase_order.sql
23,fact,23_fact_ct_purchase_receipt.sql,FACT_CT_Purchase_Receipt,2,Expose PO-linked accepted receipt lines.,08_std_ct_purchase_receipt.sql,23_fact_ct_purchase_receipt.sql
24,fact,24_fact_ct_po_receipt_line.sql,FACT_CT_PO_Receipt_Line,2,"Join exact PO number, outlet and item to receipt lines for fill-rate and OTIF logic.",07_std_ct_purchase_order.sql;08_std_ct_purchase_receipt.sql,24_fact_ct_po_receipt_line.sql
25,fact,25_fact_ct_menu_profitability.sql,FACT_CT_Menu_Profitability,2,"Aggregate menu sales, theoretical COGS and recipe gross margin.",01_std_ct_sales_item.sql;17_dim_ct_recipe_effective.sql,25_fact_ct_menu_profitability.sql
26,fact,26_fact_ct_forecast_ingredient_demand.sql,FACT_CT_Forecast_Ingredient_Demand,2,Convert menu demand forecast into ingredient requirements through the effective recipe.,11_std_ct_menu_forecast.sql;17_dim_ct_recipe_effective.sql,26_fact_ct_forecast_ingredient_demand.sql
27,fact,27_fact_ct_inventory_risk.sql,FACT_CT_Inventory_Risk,3,Calculate source-supported stockout and days-cover risk at ingredient checkpoint grain.,05_std_ct_inventory_snapshot.sql;26_fact_ct_forecast_ingredient_demand.sql;22_fact_ct_purchase_order.sql,27_fact_ct_inventory_risk.sql
28,fact,28_fact_ct_menu_impact.sql,FACT_CT_Menu_Impact,3,Connect risky ingredients back to forecast menu items and revenue at risk.,05_std_ct_inventory_snapshot.sql;26_fact_ct_forecast_ingredient_demand.sql;22_fact_ct_purchase_order.sql,28_fact_ct_menu_impact.sql
29,summary,29_sum_ct_procurement_funnel.sql,SUM_CT_Procurement_Funnel,3,"Summarize ordered, received, pending and delayed PO value for Page 2.",22_fact_ct_purchase_order.sql,29_sum_ct_procurement_funnel.sql
30,summary,30_sum_ct_vendor_scorecard.sql,SUM_CT_Vendor_Scorecard,3,"Summarize fill rate, OTIF and open PO exposure by vendor.",24_fact_ct_po_receipt_line.sql,30_sum_ct_vendor_scorecard.sql
31,summary,31_sum_ct_price_movement.sql,SUM_CT_Price_Movement,3,Compare weighted receipt prices with the immediately prior synthetic month.,23_fact_ct_purchase_receipt.sql,31_sum_ct_price_movement.sql
32,summary,32_sum_ct_menu_profitability.sql,SUM_CT_Menu_Profitability,3,Expose menu profitability with BCG quadrant classification.,25_fact_ct_menu_profitability.sql,32_sum_ct_menu_profitability.sql
33,summary,33_sum_ct_scm_monthly.sql,SUM_CT_SCM_Monthly,3,"Join monthly sales, closing stock, open PO and actual consumption for Page 4.",18_fact_ct_sales.sql;05_std_ct_inventory_snapshot.sql;22_fact_ct_purchase_order.sql;20_fact_ct_actual_consumption.sql,33_sum_ct_scm_monthly.sql
34,fact,34_fact_ct_data_quality_exception.sql,FACT_CT_Data_Quality_Exception,3,"Produce drillable Page 4 exception rows with period, outlet and source references.",05_std_ct_inventory_snapshot.sql;26_fact_ct_forecast_ingredient_demand.sql;01_std_ct_sales_item.sql;02_std_ct_recipe.sql;22_fact_ct_purchase_order.sql;07_std_ct_purchase_order.sql;08_std_ct_purchase_receipt.sql;06_std_ct_inventory_movement.sql;10_std_ct_vendor_report.sql;14_dim_ct_item.sql,34_fact_ct_data_quality_exception.sql
35,summary,35_sum_ct_financial_leakage.sql,SUM_CT_Financial_Leakage,2,Summarize observed wastage separately from demo expiry and unavailable vendor returns.,09_std_ct_wastage.sql,35_sum_ct_financial_leakage.sql
36,fact,36_fact_ct_risky_po.sql,FACT_CT_Risky_PO,3,"Retain exact open PO lines whose ingredients are currently red, purple or amber.",05_std_ct_inventory_snapshot.sql;26_fact_ct_forecast_ingredient_demand.sql;22_fact_ct_purchase_order.sql,36_fact_ct_risky_po.sql
37,dimension,37_dim_ct_outlet_enriched.sql,DIM_CT_Outlet_Enriched,2,Enrich source-derived outlet identity with synthetic demonstrator geography.,13_dim_ct_outlet.sql,37_dim_ct_outlet_enriched.sql
38,fact,38_fact_ct_expiry_risk.sql,FACT_CT_Expiry_Risk,1,Expose traceable batch-linked demo expiry exposure without claiming POSIST batch truth.,AUX_Expiry_Estimate-Copy,38_fact_ct_expiry_risk.sql
