row_id,competitor_id,competitor_name,market_area,competitor_category,competitor_item_name,competitor_price,abnah_item_number,abnah_item_name,abnah_price,price_difference,price_index,price_position,expected_sales_impact,notes
CROW00001,COMP0001,Chaayos CP,Connaught Place,Baked Goods,Almond Croissant,230.0,MENU0095,Almond Croissant,245.0,15.0,1.065,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00020,COMP0020,Local Brew Bar CP,Connaught Place,Cold Brew,Vietnamese Shakerato Medium,265.0,MENU0040,Vietnamese Shakerato - Medium,280.0,15.0,1.057,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00021,COMP0021,Blue Tokai CP,Connaught Place,Cold Brew,Vietnamese Shakerato Regular,280.0,MENU0039,Vietnamese Shakerato - Regular,255.0,-25.0,0.911,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00022,COMP0022,Starbucks CP,Connaught Place,Cold Coffee,Caramel Cold Coffee Medium,305.0,MENU0049,Caramel Cold Coffee - Medium,320.0,15.0,1.049,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00023,COMP0023,Local Brew Bar CP,Connaught Place,Cold Coffee,Caramel Cold Coffee Regular,285.0,MENU0048,Caramel Cold Coffee - Regular,285.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00024,COMP0024,Blue Tokai CP,Connaught Place,Cold Coffee,Classic Cold Coffee Medium,300.0,MENU0043,Classic Cold Coffee - Medium,290.0,-10.0,0.967,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00025,COMP0025,Local Brew Bar CP,Connaught Place,Cold Coffee,Classic Cold Coffee Regular,270.0,MENU0042,Classic Cold Coffee - Regular,255.0,-15.0,0.944,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00026,COMP0026,Starbucks CP,Connaught Place,Cold Coffee,Mocha Cold Coffee Medium,290.0,MENU0046,Mocha Cold Coffee - Medium,320.0,30.0,1.103,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00027,COMP0027,Starbucks CP,Connaught Place,Cold Coffee,Mocha Cold Coffee Regular,310.0,MENU0045,Mocha Cold Coffee - Regular,285.0,-25.0,0.919,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00028,COMP0028,Starbucks CP,Connaught Place,Desserts,Basque Cheesecake,290.0,MENU0109,Basque Cheesecake,310.0,20.0,1.069,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00029,COMP0029,Chaayos CP,Connaught Place,Desserts,Classic Chocolate Fudge Brownie,175.0,MENU0104,Classic Chocolate Fudge Brownie,195.0,20.0,1.114,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00030,COMP0030,Starbucks CP,Connaught Place,Iced Tea,Hibiscus Lime Iced Tea Medium,265.0,MENU0062,Hibiscus Lime Iced Tea - Medium,250.0,-15.0,0.943,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00031,COMP0031,Chaayos CP,Connaught Place,Iced Tea,Hibiscus Lime Iced Tea Regular,200.0,MENU0061,Hibiscus Lime Iced Tea - Regular,225.0,25.0,1.125,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00032,COMP0032,Chaayos CP,Connaught Place,Iced Tea,Lemon Iced Tea Medium,235.0,MENU0059,Lemon Iced Tea - Medium,230.0,-5.0,0.979,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00033,COMP0033,Local Brew Bar CP,Connaught Place,Iced Tea,Lemon Iced Tea Regular,225.0,MENU0058,Lemon Iced Tea - Regular,205.0,-20.0,0.911,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00034,COMP0034,Chaayos CP,Connaught Place,Sandwiches,Pepper Chicken Sandwich,345.0,MENU0081,Pepper Chicken Sandwich,315.0,-30.0,0.913,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00035,COMP0035,Blue Tokai CP,Connaught Place,Sandwiches,Pesto Veg Sandwich,295.0,MENU0080,Pesto Veg Sandwich,280.0,-15.0,0.949,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00036,COMP0036,Starbucks CP,Connaught Place,Sandwiches,Smoked Chipotle Paneer Sandwich,310.0,MENU0079,Smoked Chipotle Paneer Sandwich,295.0,-15.0,0.952,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00037,COMP0037,Local Brew Bar CP,Connaught Place,Sandwiches,Tandoori Chicken Sandwich,345.0,MENU0082,Tandoori Chicken Sandwich,320.0,-25.0,0.928,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00038,COMP0038,Blue Tokai CP,Connaught Place,Shake,Choco Chip Shake Medium,300.0,MENU0069,Choco Chip Shake - Medium,330.0,30.0,1.1,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00039,COMP0039,Blue Tokai CP,Connaught Place,Shake,Choco Chip Shake Regular,275.0,MENU0068,Choco Chip Shake - Regular,295.0,20.0,1.073,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00040,COMP0040,Chaayos CP,Connaught Place,Shake,Mixed Berry Shake Medium,335.0,MENU0072,Mixed Berry Shake - Medium,350.0,15.0,1.045,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00041,COMP0041,Chaayos CP,Connaught Place,Shake,Mixed Berry Shake Regular,305.0,MENU0071,Mixed Berry Shake - Regular,315.0,10.0,1.033,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00042,COMP0042,Chaayos CP,Connaught Place,Signature Coffee,Caramel Macchiato Medium,290.0,MENU0025,Caramel Macchiato - Medium,295.0,5.0,1.017,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00043,COMP0043,Third Wave Hauz Khas,Hauz Khas,Baked Goods,Almond Croissant,245.0,MENU0095,Almond Croissant,245.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00044,COMP0044,Campus Brew House,Hauz Khas,Baked Goods,Butter Croissant,190.0,MENU0094,Butter Croissant,195.0,5.0,1.026,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00045,COMP0045,Blue Tokai HKV,Hauz Khas,Baked Goods,Chocolate Croissant,205.0,MENU0096,Chocolate Croissant,235.0,30.0,1.146,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00046,COMP0046,Blue Tokai HKV,Hauz Khas,Baked Goods,Mushroom Cheese Croissant,220.0,MENU0097,Mushroom Cheese Croissant,255.0,35.0,1.159,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00047,COMP0047,Social Coffee HK,Hauz Khas,Baked Goods,Sriracha Chicken Croissant,245.0,MENU0098,Sriracha Chicken Croissant,275.0,30.0,1.122,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00048,COMP0048,Social Coffee HK,Hauz Khas,Coffee Classics,Americano Medium,200.0,MENU0004,Americano - Medium,210.0,10.0,1.05,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00049,COMP0049,Third Wave Hauz Khas,Hauz Khas,Coffee Classics,Americano Regular,180.0,MENU0003,Americano - Regular,185.0,5.0,1.028,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00050,COMP0050,Social Coffee HK,Hauz Khas,Coffee Classics,Cappuccino Medium,235.0,MENU0010,Cappuccino - Medium,250.0,15.0,1.064,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00051,COMP0051,Social Coffee HK,Hauz Khas,Coffee Classics,Cappuccino Regular,200.0,MENU0009,Cappuccino - Regular,225.0,25.0,1.125,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00052,COMP0052,Blue Tokai HKV,Hauz Khas,Coffee Classics,Flat White Medium,235.0,MENU0013,Flat White - Medium,260.0,25.0,1.106,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00053,COMP0053,Campus Brew House,Hauz Khas,Coffee Classics,Flat White Regular,220.0,MENU0012,Flat White - Regular,235.0,15.0,1.068,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00054,COMP0054,Third Wave Hauz Khas,Hauz Khas,Coffee Classics,Latte Medium,240.0,MENU0007,Latte - Medium,250.0,10.0,1.042,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00055,COMP0055,Blue Tokai HKV,Hauz Khas,Coffee Classics,Latte Regular,210.0,MENU0006,Latte - Regular,225.0,15.0,1.071,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00056,COMP0056,Blue Tokai HKV,Hauz Khas,Coffee Classics,Mocha Medium,255.0,MENU0016,Mocha - Medium,270.0,15.0,1.059,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00057,COMP0057,Campus Brew House,Hauz Khas,Coffee Classics,Mocha Regular,205.0,MENU0015,Mocha - Regular,245.0,40.0,1.195,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00058,COMP0058,Social Coffee HK,Hauz Khas,Cold Brew,Classic Cold Brew Medium,240.0,MENU0034,Classic Cold Brew - Medium,250.0,10.0,1.042,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00059,COMP0059,Third Wave Hauz Khas,Hauz Khas,Cold Brew,Classic Cold Brew Regular,200.0,MENU0033,Classic Cold Brew - Regular,225.0,25.0,1.125,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00060,COMP0060,Blue Tokai HKV,Hauz Khas,Cold Brew,Coffee Lemonade Medium,235.0,MENU0037,Coffee Lemonade - Medium,260.0,25.0,1.106,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00061,COMP0061,Blue Tokai HKV,Hauz Khas,Cold Brew,Coffee Lemonade Regular,220.0,MENU0036,Coffee Lemonade - Regular,235.0,15.0,1.068,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00062,COMP0062,Social Coffee HK,Hauz Khas,Cold Brew,Vietnamese Shakerato Medium,255.0,MENU0040,Vietnamese Shakerato - Medium,280.0,25.0,1.098,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00063,COMP0063,Campus Brew House,Hauz Khas,Cold Brew,Vietnamese Shakerato Regular,260.0,MENU0039,Vietnamese Shakerato - Regular,255.0,-5.0,0.981,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00064,COMP0064,Campus Brew House,Hauz Khas,Cold Coffee,Caramel Cold Coffee Medium,325.0,MENU0049,Caramel Cold Coffee - Medium,320.0,-5.0,0.985,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00065,COMP0065,Third Wave Hauz Khas,Hauz Khas,Cold Coffee,Caramel Cold Coffee Regular,290.0,MENU0048,Caramel Cold Coffee - Regular,285.0,-5.0,0.983,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00066,COMP0066,Social Coffee HK,Hauz Khas,Cold Coffee,Classic Cold Coffee Medium,295.0,MENU0043,Classic Cold Coffee - Medium,290.0,-5.0,0.983,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00067,COMP0067,Campus Brew House,Hauz Khas,Cold Coffee,Classic Cold Coffee Regular,235.0,MENU0042,Classic Cold Coffee - Regular,255.0,20.0,1.085,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00068,COMP0068,Campus Brew House,Hauz Khas,Cold Coffee,Mocha Cold Coffee Medium,275.0,MENU0046,Mocha Cold Coffee - Medium,320.0,45.0,1.164,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00069,COMP0069,Blue Tokai HKV,Hauz Khas,Cold Coffee,Mocha Cold Coffee Regular,270.0,MENU0045,Mocha Cold Coffee - Regular,285.0,15.0,1.056,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00070,COMP0070,Social Coffee HK,Hauz Khas,Desserts,Basque Cheesecake,305.0,MENU0109,Basque Cheesecake,310.0,5.0,1.016,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00071,COMP0071,Third Wave Hauz Khas,Hauz Khas,Desserts,Classic Chocolate Fudge Brownie,170.0,MENU0104,Classic Chocolate Fudge Brownie,195.0,25.0,1.147,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00072,COMP0072,Third Wave Hauz Khas,Hauz Khas,Iced Tea,Hibiscus Lime Iced Tea Medium,205.0,MENU0062,Hibiscus Lime Iced Tea - Medium,250.0,45.0,1.22,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00073,COMP0073,Third Wave Hauz Khas,Hauz Khas,Iced Tea,Hibiscus Lime Iced Tea Regular,210.0,MENU0061,Hibiscus Lime Iced Tea - Regular,225.0,15.0,1.071,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00074,COMP0074,Campus Brew House,Hauz Khas,Iced Tea,Lemon Iced Tea Medium,205.0,MENU0059,Lemon Iced Tea - Medium,230.0,25.0,1.122,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00075,COMP0075,Blue Tokai HKV,Hauz Khas,Iced Tea,Lemon Iced Tea Regular,195.0,MENU0058,Lemon Iced Tea - Regular,205.0,10.0,1.051,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00076,COMP0076,Campus Brew House,Hauz Khas,Sandwiches,Pepper Chicken Sandwich,280.0,MENU0081,Pepper Chicken Sandwich,315.0,35.0,1.125,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00077,COMP0077,Blue Tokai HKV,Hauz Khas,Sandwiches,Pesto Veg Sandwich,270.0,MENU0080,Pesto Veg Sandwich,280.0,10.0,1.037,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00078,COMP0078,Campus Brew House,Hauz Khas,Sandwiches,Smoked Chipotle Paneer Sandwich,245.0,MENU0079,Smoked Chipotle Paneer Sandwich,295.0,50.0,1.204,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00079,COMP0079,Third Wave Hauz Khas,Hauz Khas,Sandwiches,Tandoori Chicken Sandwich,320.0,MENU0082,Tandoori Chicken Sandwich,320.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00080,COMP0080,Campus Brew House,Hauz Khas,Shake,Choco Chip Shake Medium,320.0,MENU0069,Choco Chip Shake - Medium,330.0,10.0,1.031,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00081,COMP0081,Third Wave Hauz Khas,Hauz Khas,Shake,Choco Chip Shake Regular,250.0,MENU0068,Choco Chip Shake - Regular,295.0,45.0,1.18,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00082,COMP0082,Campus Brew House,Hauz Khas,Shake,Mixed Berry Shake Medium,325.0,MENU0072,Mixed Berry Shake - Medium,350.0,25.0,1.077,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00083,COMP0083,Blue Tokai HKV,Hauz Khas,Shake,Mixed Berry Shake Regular,265.0,MENU0071,Mixed Berry Shake - Regular,315.0,50.0,1.189,Premium vs competitor,Potential pressure for price-sensitive student demand,Synthetic competitor context; do not interpret as causation.
CROW00084,COMP0084,Third Wave Hauz Khas,Hauz Khas,Signature Coffee,Caramel Macchiato Medium,300.0,MENU0025,Caramel Macchiato - Medium,295.0,-5.0,0.983,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00085,COMP0085,Starbucks Select Citywalk,Saket,Baked Goods,Almond Croissant,270.0,MENU0095,Almond Croissant,245.0,-25.0,0.907,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00086,COMP0086,Coffee Bean Saket,Saket,Baked Goods,Butter Croissant,190.0,MENU0094,Butter Croissant,195.0,5.0,1.026,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00087,COMP0087,Starbucks Select Citywalk,Saket,Baked Goods,Chocolate Croissant,230.0,MENU0096,Chocolate Croissant,235.0,5.0,1.022,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00088,COMP0088,Coffee Bean Saket,Saket,Baked Goods,Mushroom Cheese Croissant,290.0,MENU0097,Mushroom Cheese Croissant,255.0,-35.0,0.879,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00089,COMP0089,Third Wave Saket,Saket,Baked Goods,Sriracha Chicken Croissant,280.0,MENU0098,Sriracha Chicken Croissant,275.0,-5.0,0.982,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00090,COMP0090,Starbucks Select Citywalk,Saket,Coffee Classics,Americano Medium,230.0,MENU0004,Americano - Medium,210.0,-20.0,0.913,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00091,COMP0091,Artisan Dessert Cafe Saket,Saket,Coffee Classics,Americano Regular,200.0,MENU0003,Americano - Regular,185.0,-15.0,0.925,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00092,COMP0092,Starbucks Select Citywalk,Saket,Coffee Classics,Cappuccino Medium,275.0,MENU0010,Cappuccino - Medium,250.0,-25.0,0.909,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00093,COMP0093,Artisan Dessert Cafe Saket,Saket,Coffee Classics,Cappuccino Regular,235.0,MENU0009,Cappuccino - Regular,225.0,-10.0,0.957,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00094,COMP0094,Third Wave Saket,Saket,Coffee Classics,Flat White Medium,300.0,MENU0013,Flat White - Medium,260.0,-40.0,0.867,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00095,COMP0095,Artisan Dessert Cafe Saket,Saket,Coffee Classics,Flat White Regular,240.0,MENU0012,Flat White - Regular,235.0,-5.0,0.979,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00096,COMP0096,Coffee Bean Saket,Saket,Coffee Classics,Latte Medium,265.0,MENU0007,Latte - Medium,250.0,-15.0,0.943,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00097,COMP0097,Coffee Bean Saket,Saket,Coffee Classics,Latte Regular,220.0,MENU0006,Latte - Regular,225.0,5.0,1.023,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00098,COMP0098,Coffee Bean Saket,Saket,Coffee Classics,Mocha Medium,255.0,MENU0016,Mocha - Medium,270.0,15.0,1.059,Premium vs competitor,Premium may still work due to mall/leisure positioning,Synthetic competitor context; do not interpret as causation.
CROW00099,COMP0099,Artisan Dessert Cafe Saket,Saket,Coffee Classics,Mocha Regular,250.0,MENU0015,Mocha - Regular,245.0,-5.0,0.98,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00100,COMP0100,Starbucks Select Citywalk,Saket,Cold Brew,Classic Cold Brew Medium,255.0,MENU0034,Classic Cold Brew - Medium,250.0,-5.0,0.98,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00101,COMP0101,Starbucks Select Citywalk,Saket,Cold Brew,Classic Cold Brew Regular,260.0,MENU0033,Classic Cold Brew - Regular,225.0,-35.0,0.865,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00102,COMP0102,Starbucks Select Citywalk,Saket,Cold Brew,Coffee Lemonade Medium,300.0,MENU0037,Coffee Lemonade - Medium,260.0,-40.0,0.867,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00103,COMP0103,Starbucks Select Citywalk,Saket,Cold Brew,Coffee Lemonade Regular,270.0,MENU0036,Coffee Lemonade - Regular,235.0,-35.0,0.87,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00104,COMP0104,Third Wave Saket,Saket,Cold Brew,Vietnamese Shakerato Medium,315.0,MENU0040,Vietnamese Shakerato - Medium,280.0,-35.0,0.889,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00105,COMP0105,Artisan Dessert Cafe Saket,Saket,Cold Brew,Vietnamese Shakerato Regular,270.0,MENU0039,Vietnamese Shakerato - Regular,255.0,-15.0,0.944,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00106,COMP0106,Starbucks Select Citywalk,Saket,Cold Coffee,Caramel Cold Coffee Medium,350.0,MENU0049,Caramel Cold Coffee - Medium,320.0,-30.0,0.914,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00107,COMP0107,Coffee Bean Saket,Saket,Cold Coffee,Caramel Cold Coffee Regular,270.0,MENU0048,Caramel Cold Coffee - Regular,285.0,15.0,1.056,Premium vs competitor,Premium may still work due to mall/leisure positioning,Synthetic competitor context; do not interpret as causation.
CROW00108,COMP0108,Coffee Bean Saket,Saket,Cold Coffee,Classic Cold Coffee Medium,325.0,MENU0043,Classic Cold Coffee - Medium,290.0,-35.0,0.892,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00109,COMP0109,Third Wave Saket,Saket,Cold Coffee,Classic Cold Coffee Regular,250.0,MENU0042,Classic Cold Coffee - Regular,255.0,5.0,1.02,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00110,COMP0110,Starbucks Select Citywalk,Saket,Cold Coffee,Mocha Cold Coffee Medium,305.0,MENU0046,Mocha Cold Coffee - Medium,320.0,15.0,1.049,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00111,COMP0111,Coffee Bean Saket,Saket,Cold Coffee,Mocha Cold Coffee Regular,310.0,MENU0045,Mocha Cold Coffee - Regular,285.0,-25.0,0.919,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
