market_area,competitor_category,price_position,mapped_items,avg_price_index,avg_price_difference,avg_expected_sales_impact,competitor_examples,outlet_name
Saket,Signature Coffee,At parity,1,1.035,10.0,0.0,Starbucks Select Citywalk,ABNAH Cafe Saket Premium
Saket,Cold Coffee,At parity,2,1.0345,10.0,0.0,"Starbucks Select Citywalk, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Baked Goods,At parity,3,1.01,1.6666666666666667,0.0,"Coffee Bean Saket, Starbucks Select Citywalk, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Desserts,At parity,1,1.0,0.0,0.0,Artisan Dessert Cafe Saket,ABNAH Cafe Saket Premium
Saket,Sandwiches,At parity,2,0.9994999999999999,0.0,0.0,"Artisan Dessert Cafe Saket, Coffee Bean Saket",ABNAH Cafe Saket Premium
Saket,Shake,At parity,2,0.9924999999999999,-2.5,0.0,"Coffee Bean Saket, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Coffee Classics,At parity,4,0.98475,-3.75,0.0,"Artisan Dessert Cafe Saket, Coffee Bean Saket",ABNAH Cafe Saket Premium
Saket,Cold Brew,At parity,1,0.98,-5.0,0.0,Starbucks Select Citywalk,ABNAH Cafe Saket Premium
Saket,Iced Tea,At parity,1,0.978,-5.0,0.0,Artisan Dessert Cafe Saket,ABNAH Cafe Saket Premium
Saket,Iced Tea,Below competitor,3,0.9253333333333332,-18.333333333333332,0.0,"Artisan Dessert Cafe Saket, Coffee Bean Saket, Starbucks Select Citywalk",ABNAH Cafe Saket Premium
Saket,Coffee Classics,Below competitor,5,0.9114000000000001,-23.0,0.0,"Artisan Dessert Cafe Saket, Coffee Bean Saket, Starbucks Select Citywalk, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Cold Coffee,Below competitor,3,0.9083333333333333,-30.0,0.0,"Coffee Bean Saket, Starbucks Select Citywalk",ABNAH Cafe Saket Premium
Saket,Sandwiches,Below competitor,2,0.907,-32.5,0.0,"Coffee Bean Saket, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Baked Goods,Below competitor,2,0.893,-30.0,0.0,"Coffee Bean Saket, Starbucks Select Citywalk",ABNAH Cafe Saket Premium
Saket,Cold Brew,Below competitor,5,0.8869999999999999,-32.0,0.0,"Artisan Dessert Cafe Saket, Starbucks Select Citywalk, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Shake,Below competitor,2,0.884,-40.0,0.0,"Starbucks Select Citywalk, Third Wave Saket",ABNAH Cafe Saket Premium
Saket,Desserts,Below competitor,1,0.867,-30.0,0.0,Third Wave Saket,ABNAH Cafe Saket Premium
