domain,filter_1,filter_2,filter_3,expected_measure,expected_value,expected_display,source_table,note
Sales category,ABNAH Cafe Hauz Khas,Iced Tea,Beverage,SUM(net_sale),31091.75,31.09K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Tea,Beverage,SUM(net_sale),30913.42,30.91K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Shake,Beverage,SUM(net_sale),25082.2,25.08K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Sandwiches,Food,SUM(net_sale),24567.29,24.57K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Baked Goods,Food,SUM(net_sale),23033.23,23.03K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Wraps,Food,SUM(net_sale),16977.77,16.98K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Snacks,Food,SUM(net_sale),16120.08,16.12K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Baked Goods,Dessert,SUM(net_sale),15904.15,15.90K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Breakfast,Food,SUM(net_sale),13144.33,13.14K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Smoothie,Beverage,SUM(net_sale),9441.06,9.44K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Kids Beverage,Beverage,SUM(net_sale),4728.88,4.73K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Toasts,Food,SUM(net_sale),4617.18,4.62K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Espresso,Beverage,SUM(net_sale),2088.02,2.09K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Platter,Food,SUM(net_sale),1841.25,1.84K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Coffee Classics,Beverage,SUM(net_sale),159033.22,1.59L,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Signature Coffee,Beverage,SUM(net_sale),133544.24,1.34L,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Cold Coffee,Beverage,SUM(net_sale),80522.72,80.52K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Desserts,Dessert,SUM(net_sale),50239.47,50.24K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Cold Brew,Beverage,SUM(net_sale),41779.15,41.78K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Shake,Beverage,SUM(net_sale),34640.38,34.64K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Tea,Beverage,SUM(net_sale),31396.56,31.40K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Baked Goods,Food,SUM(net_sale),28528.83,28.53K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Sandwiches,Food,SUM(net_sale),25093.57,25.09K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Baked Goods,Dessert,SUM(net_sale),22137.69,22.14K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Iced Tea,Beverage,SUM(net_sale),21204.88,21.20K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Wraps,Food,SUM(net_sale),15849.23,15.85K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Breakfast,Food,SUM(net_sale),15066.91,15.07K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Smoothie,Beverage,SUM(net_sale),13852.0,13.85K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Snacks,Food,SUM(net_sale),9601.53,9.60K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Toasts,Food,SUM(net_sale),4093.03,4.09K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Kids Beverage,Beverage,SUM(net_sale),3950.51,3.95K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Platter,Food,SUM(net_sale),900.2,900,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Saket Premium,Espresso,Beverage,SUM(net_sale),862.45,862,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Cappuccino - Medium,SUM(net_sale),17849.06,17.85K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Flat White - Medium,SUM(net_sale),16380.29,16.38K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Latte - Medium,SUM(net_sale),15752.06,15.75K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Mocha - Regular,SUM(net_sale),15631.91,15.63K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Mocha - Medium,SUM(net_sale),15483.27,15.48K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Americano - Regular,SUM(net_sale),15475.94,15.48K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Latte - Regular,SUM(net_sale),14417.57,14.42K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Cappuccino - Regular,SUM(net_sale),14314.77,14.31K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Americano - Medium,SUM(net_sale),14117.43,14.12K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Flat White - Regular,SUM(net_sale),13679.63,13.68K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Americano - Large,SUM(net_sale),12683.01,12.68K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Latte - Large,SUM(net_sale),12136.03,12.14K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Cappuccino - Large,SUM(net_sale),11031.85,11.03K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Flat White - Large,SUM(net_sale),10529.14,10.53K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Vegan Iced Latte - Regular,SUM(net_sale),9782.45,9.78K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Sea Salt Mocha - Regular,SUM(net_sale),9522.92,9.52K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,French Vanilla Latte - Medium,SUM(net_sale),9485.21,9.49K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Sandwiches,Tandoori Chicken Sandwich,SUM(net_sale),8751.4,8.75K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,French Vanilla Latte - Regular,SUM(net_sale),8306.85,8.31K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,French Vanilla Latte - Large,SUM(net_sale),8249.7,8.25K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Caramel Macchiato - Regular,SUM(net_sale),8170.57,8.17K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Coffee Classics,Mocha - Large,SUM(net_sale),8007.67,8.01K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Classic Cold Coffee - Large,SUM(net_sale),7978.91,7.98K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Sandwiches,Pepper Chicken Sandwich,SUM(net_sale),7765.09,7.77K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Caramel Cold Coffee - Regular,SUM(net_sale),7627.66,7.63K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Vegan Iced Latte - Large,SUM(net_sale),7595.37,7.60K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Caramel Macchiato - Medium,SUM(net_sale),7459.96,7.46K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Sandwiches,Smoked Chipotle Paneer Sandwich,SUM(net_sale),7456.87,7.46K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Shake,Mixed Berry Shake - Medium,SUM(net_sale),7168.24,7.17K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Mocha Cold Coffee - Regular,SUM(net_sale),6958.79,6.96K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Classic Cold Coffee - Regular,SUM(net_sale),6937.07,6.94K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Vietnamese Shakerato - Medium,SUM(net_sale),6689.96,6.69K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Sandwiches,Pesto Veg Sandwich,SUM(net_sale),6535.45,6.54K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Orange Zest Mocha - Medium,SUM(net_sale),6492.73,6.49K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Vegan Iced Latte - Medium,SUM(net_sale),6429.9,6.43K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Masala Chai Latte - Regular,SUM(net_sale),6285.12,6.29K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Classic Cold Coffee - Medium,SUM(net_sale),6229.56,6.23K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Caramel Cold Coffee - Medium,SUM(net_sale),6229.12,6.23K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Sea Salt Mocha - Medium,SUM(net_sale),5961.57,5.96K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Banoffee Pie,SUM(net_sale),5851.43,5.85K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Mocha Cold Coffee - Medium,SUM(net_sale),5682.29,5.68K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Breakfast,Breakfast Pancakes,SUM(net_sale),5613.98,5.61K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Orange Zest Mocha - Large,SUM(net_sale),5514.85,5.51K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Double Chocolate Truffle Cake,SUM(net_sale),5494.87,5.49K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Japanese Matcha Latte - Medium,SUM(net_sale),5460.43,5.46K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Japanese Matcha Latte - Regular,SUM(net_sale),5399.36,5.40K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Japanese Matcha Latte - Large,SUM(net_sale),5367.75,5.37K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Orange Zest Mocha - Regular,SUM(net_sale),5254.54,5.25K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Masala Chai Latte - Large,SUM(net_sale),5236.45,5.24K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Mocha Cold Coffee - Large,SUM(net_sale),5197.79,5.20K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Shake,Choco Chip Shake - Medium,SUM(net_sale),5146.48,5.15K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Coffee Lemonade - Regular,SUM(net_sale),5041.42,5.04K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Coffee,Caramel Cold Coffee - Large,SUM(net_sale),4838.38,4.84K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Multigrain Walnut Tea Cake,SUM(net_sale),4835.36,4.84K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Vietnamese Shakerato - Regular,SUM(net_sale),4758.04,4.76K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Iced Tea,Hibiscus Lime Iced Tea - Medium,SUM(net_sale),4626.3,4.63K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Wraps,Shredded Chicken Wrap,SUM(net_sale),4615.09,4.62K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Masala Chai Latte - Medium,SUM(net_sale),4521.14,4.52K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Coffee Lemonade - Large,SUM(net_sale),4455.46,4.46K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Breakfast,Scallion Pepper Cream Cheese Bagel,SUM(net_sale),4420.05,4.42K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Chocolate Croissant,SUM(net_sale),4392.29,4.39K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Wraps,Spicy Paneer Wrap,SUM(net_sale),4302.74,4.30K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Mushroom Cheese Croissant,SUM(net_sale),4236.58,4.24K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Toasts,Chicken Pepperoni Avocado Toast,SUM(net_sale),4201.75,4.20K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Breakfast,Cream Cheese Bagel,SUM(net_sale),4191.78,4.19K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Iced Tea,Hibiscus Lime Iced Tea - Regular,SUM(net_sale),4001.97,4.00K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Cinnamon Roll with Cream Cheese,SUM(net_sale),3941.46,3.94K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Coffee Lemonade - Medium,SUM(net_sale),3803.25,3.80K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Iced Tea,Lemon Iced Tea - Medium,SUM(net_sale),3610.27,3.61K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Classic Chocolate Fudge Brownie,SUM(net_sale),3607.14,3.61K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Sriracha Chicken Croissant,SUM(net_sale),3508.83,3.51K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Classic Cold Brew - Medium,SUM(net_sale),3415.36,3.42K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Shake,Mixed Berry Shake - Regular,SUM(net_sale),3401.25,3.40K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Lemon Raspberry Tea Cake,SUM(net_sale),3376.4,3.38K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Basque Cheesecake,SUM(net_sale),3343.58,3.34K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Smoothie,Seasonal Smoothie - Regular,SUM(net_sale),3323.17,3.32K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Signature Coffee,Sea Salt Mocha - Large,SUM(net_sale),3283.24,3.28K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Shake,Choco Chip Shake - Large,SUM(net_sale),3238.16,3.24K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Iced Tea,Lemon Iced Tea - Regular,SUM(net_sale),3209.94,3.21K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
