file,query_table,layer,sources,purpose,has_date_field,dashboard_filter_note
16_dim_event.sql,DIM_Event,DIM,,Reusable manual event dimension.,Yes,Date-safe for matching date field filters.
17_fact_sales.sql,FACT_Sales,FACT,"STD_Sales_Report, DIM_Menu_Item, STD_Holiday_Calendar",Sales fact enriched with menu metadata and holiday context.,Yes,Date-safe for matching date field filters.
18_fact_purchase_order.sql,FACT_Purchase_Order,FACT,"STD_Purchase_Report, DIM_Vendor, DIM_Ingredient",Purchase order line fact with vendor and ingredient context.,Yes,Date-safe for matching date field filters.
19_fact_entry_receipt.sql,FACT_Entry_Receipt,FACT,"STD_Entry_Report, DIM_Vendor, DIM_Ingredient",Receipt/GRN line fact with vendor and ingredient context.,Yes,Date-safe for matching date field filters.
20_fact_inventory_closing.sql,FACT_Inventory_Closing,FACT,"STD_Inventory_Closing_Report, DIM_Ingredient",Daily closing inventory fact with simple pressure flags.,Yes,Date-safe for matching date field filters.
21_fact_theoretical_consumption.sql,FACT_Theoretical_Consumption,FACT,"FACT_Sales, STD_Recipe_BOM",Estimate ingredient consumption from sales quantity multiplied by recipe BOM quantity.,Yes,Date-safe for matching date field filters.
22_fact_po_receipt_comparison.sql,FACT_PO_Receipt_Comparison,FACT,"FACT_Purchase_Order, FACT_Entry_Receipt",Compare purchase order lines with receipt/entry rows.,Yes,Approximate PO/receipt matching because entry rows have no po_number.
23_fact_event_sales_impact.sql,FACT_Event_Sales_Impact,FACT,"DIM_Event, FACT_Sales",Join manual event windows to sales and calculate directional event lift.,Yes,Date-safe for matching date field filters.
24_fact_competitor_price_position.sql,FACT_Competitor_Price_Position,FACT,"STD_Competitor_Pricing, FACT_Sales",Map competitor price context to ABNAH item sales.,Yes,Date-safe for matching date field filters.
25_fact_outlet_daily_health.sql,FACT_Outlet_Daily_Health,FACT,"FACT_Sales, FACT_Purchase_Order, FACT_Entry_Receipt, FACT_Inventory_Closing, DIM_Event",Daily outlet-level operational summary.,Yes,Date-safe for matching date field filters.
26_sum_vendor_share.sql,SUM_Vendor_Share,SUM,,Vendor share of ordered and received value.,No,Month-level vendor summary. Use FACT_Vendor_Spend for date/vendor/material filters.
27_sum_inventory_risk.sql,SUM_Inventory_Risk,SUM,"FACT_Inventory_Closing, FACT_Theoretical_Consumption",Latest inventory pressure table with theoretical consumption context.,Yes,Latest inventory snapshot only. Use FACT_Inventory_Closing for inventory date filters.
28_sum_event_impact.sql,SUM_Event_Impact,SUM,,"Event lift summary by event, outlet, category, and item.",Yes,Date-safe for matching date field filters.
29_sum_competitor_positioning.sql,SUM_Competitor_Positioning,SUM,,Competitor price context summary with mapped ABNAH sales.,No,No date grain; do not expect dashboard Date Range to change this table.
30_dim_holiday.sql,DIM_Holiday,DIM,,Reusable holiday dimension.,No,No date grain; do not expect dashboard Date Range to change this table.
31_dim_competitor.sql,DIM_Competitor,DIM,,Reusable competitor dimension from competitor pricing rows.,No,No date grain; do not expect dashboard Date Range to change this table.
32_fact_vendor_spend.sql,FACT_Vendor_Spend,FACT,"FACT_Purchase_Order, FACT_Entry_Receipt",Vendor/date/outlet spend fact combining PO value and receipt value.,Yes,Unified PO and receipt fact. PO Status applies only to PO rows; receipt rows do not carry PO status.
33_sum_executive_kpis.sql,SUM_Executive_KPIs,SUM,"FACT_Sales, FACT_Vendor_Spend, FACT_Inventory_Closing, DIM_Outlet, DIM_Event",Metric-name/value table for executive KPI widgets.,No,No date grain; do not expect dashboard Date Range to change this table.
34_sum_outlet_health.sql,SUM_Outlet_Health,SUM,,Outlet-level health summary.,No,No date grain; do not expect dashboard Date Range to change this table.
35_sum_sales_category_mix.sql,SUM_Sales_Category_Mix,SUM,,Sales contribution by super-category and category.,No,Month-level sales summary. Use FACT_Sales for date-sensitive charts.
36_sum_menu_item_performance.sql,SUM_Menu_Item_Performance,SUM,"FACT_Sales, STD_Competitor_Pricing",Menu item performance and competitor-context summary.,No,Month-level sales summary. Use FACT_Sales for date-sensitive charts.
37_sum_event_markers.sql,SUM_Event_Markers,SUM,,Spike explanation panel and dashboard annotation replacement.,Yes,Date-safe for matching date field filters.
