page,section,report_name,report_folder,priority_domain,capture_method,schema_source_status,filters_count,headers_count,hscroll_count,vscroll_count,exports_count,notes_count,screenshot_required_rule,schema_template_path,next_action
p1_main,01_sales_analysis,Item Hourly Sales By Tab,p1_main/01_sales_analysis/13_item_hourly_sales_by_tab,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Hourly Sales By Source,p1_main/01_sales_analysis/14_hourly_sales_by_source,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Day Part Sales,p1_main/01_sales_analysis/15_day_part_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,2,0,1,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Day Part Product Sales,p1_main/01_sales_analysis/16_day_part_product_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,1,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,day_part_product_detailed,p1_main/01_sales_analysis/17_day_part_product_detailed,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Brand Sales,p1_main/01_sales_analysis/18_brand_sales,sales_revenue,screenshots_ocr_then_schema_index,filter_and_context_only_needs_schema,1,0,0,3,0,1,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,01_sales_analysis,Sales Contribution,p1_main/01_sales_analysis/19_sales_contribution,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,5,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Billwise Section Sales Analysis,p1_main/01_sales_analysis/20_billwise_section_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,section_sales_analysis,p1_main/01_sales_analysis/21_section_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,3,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,source_analysis_summary,p1_main/01_sales_analysis/22_source_analysis_summary,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,source_wise_tab_wise_item_analysis,p1_main/01_sales_analysis/23_source_wise_tab_wise_item_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Settlement Analysis,p1_main/02_settlements/01_settlement_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Settlement Analysis Consolidated,p1_main/02_settlements/02_settlement_analysis_consolidated,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Daily Payments Breakup,p1_main/02_settlements/03_daily_payments_breakup,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Daily Payments Breakup Consolidated,p1_main/02_settlements/04_daily_payments_breakup_consolidate,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Billwise Settlement Analysis,p1_main/02_settlements/05_billwise_settlement_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,02_settlements,Enterprise BTC Report,p1_main/02_settlements/06_enterprise_btc_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Daily Item Wise Discount,p1_main/03_discounts_offers/01_daily_item_wise_discount,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Daily Discount Billwise,p1_main/03_discounts_offers/02_daily_discount_billwise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Offers Analysis,p1_main/03_discounts_offers/03_offers_analysis,sales_revenue,screenshots_ocr_then_schema_index,filter_only_needs_schema,1,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,03_discounts_offers,Offer Budget,p1_main/03_discounts_offers/04_offer_budget,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Discount Billwise Analysis,p1_main/03_discounts_offers/05_discount_billwise_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Offer Code Report,p1_main/03_discounts_offers/06_offer_code_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Offer Code Usage Report,p1_main/03_discounts_offers/07_offer_code_usage_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Discount And Complimentary Analysis,p1_main/03_discounts_offers/08_discount_and_complimentary_analysi,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_available_filter_missing_or_common,0,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Entp Item Based Offer,p1_main/03_discounts_offers/09_entp_item_based_offer,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Complimentary Head,p1_main/03_discounts_offers/10_complimentary_head,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,03_discounts_offers,Complimentary Head Itemwise,p1_main/03_discounts_offers/11_complimentary_head_itemwise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,03_discounts_offers,Consolidated Item Complimentary,p1_main/03_discounts_offers/12_consolidated_item_complimentary,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,04_tax_analysis,Daily Tax Analysis,p1_main/04_tax_analysis/01_daily_tax_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,04_tax_analysis,Daily No VAT Analysis,p1_main/04_tax_analysis/02_daily_no_vat_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,04_tax_analysis,Super Category Wise Daily Taxes,p1_main/04_tax_analysis/03_super_category_wise_daily_taxes,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,04_tax_analysis,Super Category Wise No VAT,p1_main/04_tax_analysis/04_super_category_wise_no_vat,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,04_tax_analysis,Tax Summary,p1_main/04_tax_analysis/05_tax_summary,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,3,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Menu Mix,p1_main/05_performance/01_menu_mix,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Category Analysis,p1_main/05_performance/02_category_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Super Category Sourcewise Sales,p1_main/05_performance/03_super_category_sourcewise_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Super Category Tabwise Sourcewise Sales,p1_main/05_performance/04_super_category_tabwise_sourcewise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_available_filter_missing_or_common,0,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Item Analysis,p1_main/05_performance/05_item_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,item_source_report,p1_main/05_performance/06_item_source_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,itemwise Enterprise,p1_main/05_performance/07_itemwise_enterprise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Tab Wise Item Analysis,p1_main/05_performance/08_tab_wise_item_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,item_incidence,p1_main/05_performance/09_item_incidence,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Highest And Lowest Selling Items,p1_main/05_performance/10_highest_and_lowest_selling_items,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Tab Wise Analysis,p1_main/05_performance/11_tab_wise_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,3,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Brand Performance Section Wise,p1_main/05_performance/12_brand_performance_section_wise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,3,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Brand Performance Report,p1_main/05_performance/13_brand_performance_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Combo Report,p1_main/05_performance/14_combo_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,Meal Count Report,p1_main/05_performance/15_meal_count_report,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,05_performance,user_attendance_report_detailed,p1_main/05_performance/16_user_attendance_report_detailed,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,05_performance,user_attendance_report_summary,p1_main/05_performance/17_user_attendance_report_summary,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Void Bill Item Wise,p1_main/06_misc/01_void_bill_item_wise,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Cashier Report,p1_main/06_misc/02_cashier_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Budget DSR Report,p1_main/06_misc/03_budget_dsr_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,CRM Report,p1_main/06_misc/04_crm_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Voucher Report,p1_main/06_misc/05_voucher_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,sales_and_reload_report,p1_main/06_misc/06_sales_and_reload_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,msr_reload_report,p1_main/06_misc/07_msr_reload_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Gift Card Report,p1_main/06_misc/08_gift_card_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Super Categories DSR,p1_main/06_misc/09_super_categories_dsr,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Online Orders Time Log,p1_main/06_misc/10_online_orders_time_log,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Entp EDC Report,p1_main/06_misc/11_entp_edc_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Entp Day Report,p1_main/06_misc/12_entp_day_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Entp Reprint Report,p1_main/06_misc/13_entp_reprint_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,filter_invoices_report,p1_main/06_misc/14_filter_invoices_report,vendor_procurement,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,item_out_of_stock,p1_main/06_misc/15_item_out_of_stock,inventory_consumption,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Whatsapp Message Report,p1_main/06_misc/16_whatsapp_message_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Call Center Report,p1_main/06_misc/17_call_center_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Item Recipe Report,p1_main/06_misc/18_item_recipe_report,inventory_consumption,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Refund Item Detail Report,p1_main/06_misc/19_refund_item_detail_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Shift Report,p1_main/06_misc/20_shift_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Expense Report,p1_main/06_misc/21_expense_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Aggregator Status Report,p1_main/06_misc/22_aggregator_status_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Staff Meal Report,p1_main/06_misc/23_staff_meal_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Advance Booking Report,p1_main/06_misc/24_advance_booking_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Removed Taxes Charges Report,p1_main/06_misc/25_removed_taxes_charges_report,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Unknown Miscellaneous Report 26,p1_main/06_misc/26_unknown_miscellaneous_report_26,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p1_main,06_misc,Unknown Miscellaneous Report 27,p1_main/06_misc/27_unknown_miscellaneous_report_27,sales_revenue,screenshots_ocr_then_schema_index,not_captured,0,0,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,capture/paste headers or export if report is still needed
p2_reports,01_analytics,Hourly Sales Report,p2_reports/01_analytics/01_hourly_sales_report,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,half_hourly_sales_report,p2_reports/01_analytics/02_half_hourly_sales_report,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,Hourly Sales By Category,p2_reports/01_analytics/03_hourly_sales_by_category,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,Growth Report,p2_reports/01_analytics/04_growth_report,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,Average Bill,p2_reports/01_analytics/05_average_bill,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,Income Analysis Report,p2_reports/01_analytics/06_income_analysis_report,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
p2_reports,01_analytics,Forecast Comparison Report,p2_reports/01_analytics/07_forecast_comparison_report,sales_revenue,csv_header_text_first_optional_screenshots,schema_text_template_ready,0,0,0,0,0,0,"not required when exact CSV headers are pasted; take screenshots only for no-export reports, unique filters, grouped/pivot layouts, or confusing totals",,paste CSV headers; screenshots only for no-export or confusing grouped reports
