packet_id,folder,endpoint_name,method,path,auth_or_key_params,abnah_priority,primary_dashboard_fit,usefulness,notes
RW_API_018,Delivery,Get Delivery info,POST,/api/v1/delivery/get_delivery_info,customer_key,P3,Delivery Ops,Low,Customer delivery details. Not vendor route/procurement data.
RW_API_019,Loyalty Integration,Get Loyalty Customer Details,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Partner-side loyalty callback pattern. Not needed for current phase.
RW_API_020,Loyalty Integration,POS customer Details,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Customer/loyalty exchange.
RW_API_021,Loyalty Integration,Authenticate points redemption,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Loyalty redemption workflow.
RW_API_022,Loyalty Integration,Loyalty Points Redemption,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Loyalty redemption workflow.
RW_API_023,Loyalty Integration,Get POS Bill Details,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Could overlap bill lookup but not primary analytics source.
RW_API_024,Loyalty Integration,Coupon/Reward Details,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Coupon/reward workflow.
RW_API_025,Loyalty Integration,Redeem Coupon,POST,external_partner_endpoint,partner auth,P3,CRM/Loyalty,Low,Coupon redemption workflow.
RW_API_026,Cloud POS,Get Menu Items,GET,/api/v1/online_order_cloud/menu,customer_key,P2,Menu Dimension,Medium,Cloud POS menu fields can supplement menu master if standard menu API is unavailable.
RW_API_027,Cloud POS,Push Order to Kitchen,GET,/api/v1/online_order_cloud/push,customer_key,P3,Kitchen Ops,Low,Operational order push.
RW_API_028,Cloud POS,Update pushed order cancel,GET,/api/v1/online_order_cloud/update_order,customer_key/body,P3,Kitchen Ops,Low,Operational cancellation workflow.
RW_API_029,Stock,Fetch Inventory Data,GET,/api/v1/pos/fetch_Inventory_data,"Basic auth; customer_key,entity,fromDate,toDate,transactionType,onlyLocalGRNs,tenant_id,page",P0,Inventory and Consumption Intelligence; Vendor and Procurement Analytics,Very high,"Core endpoint for inventory transactions and PO/entity mode. Transaction types include stock_entry,physical_stock,vendor_return,wastage_entry,stock_opening,stock_sale; docs mention stock_transfer,finished_entry,semi_entry as upcoming."
RW_API_030,Stock,Indent,GET,/api/v1/pos/get_indents,"Basic auth; customer_key,startDate,endDate,deploymentAs",P0,Inventory and Consumption Intelligence; Vendor and Procurement Analytics,Very high,"Indent/requisition data between supplier and receiver deployments/stores with item quantities,status,dates,taxes and store codes."
RW_API_031,FAQ,Online Order,VIEW,documentation_only,none,P3,Documentation,Low,"FAQ/documentation content, not data endpoint."
RW_API_032,FAQ,Data integration,VIEW,documentation_only,none,P3,Documentation,Low,"FAQ/documentation content, not data endpoint."
RW_API_033,Checklist for Production,Online Ordering Standard Menu Checklist,VIEW,documentation_only,none,P3,Implementation Checklist,Low,"Useful for integration go-live checks, not a data source."
RW_API_034,Checklist for Production,Loyalty Checklist,VIEW,documentation_only,none,P3,Implementation Checklist,Low,"Useful for integration go-live checks, not a data source."
